,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
11501,1719319,HTW saar,The htw saar counseling and preparatory study deals interested refugees,Education,,2,"Germany, Saarbrucken",,,66111,Germany,Saarbrücken,
11506,154917,Bryn Mawr College,,Education,,2,"United States, Bryn Mawr",,,,United States,Bryn Mawr,
11516,133894,Appliance University,Appliance University is the Place for Appliance & HVAC/R Training Teaching How To Properly Diagnose and Repair,Education,,2,"United States, Aptos",,,,United States,Aptos,"Training,repair,teaching"
11533,1546009,"International Institute of Information Technology, Hyderabad (IIIT-H)",Autonomous university founded in 1998,Education,,8,"India, Hyderabad",,,500001,India,Hyderabad,
11562,1647582,Phillips Exeter Academy,Coeducational independent school for boarding and day students between the 9th and 12th grade,Education,,2,"United States, Exeter",,,93221,United States,Exeter,outside tech
11576,1475776,SmartMe.University,Platform for online learning,Education,,2,"01001 Kiev, Ukraine",,,01001,Ukraine,Kiev,"Content,E-Learning"
11605,1318901,Graduate Theological Union,School in berkeley,Education,Fintech,8,"United States, Berkeley",,,,United States,Berkeley,
11614,112516,Alderleaf Wilderness College,,Education,,2,"United States, Monroe",,,,United States,Monroe,
11641,1391856,Loyola Law School,School in los angeles,Education,,8,"United States, Los Angeles",,,,United States,Los Angeles,
11655,129264,Rhode Island School of Design,"At The Easel and in The Studio - Sights, Scenes, and Thoughts from The Rhode Island School of Design",Education,Kids,8,"United States, Providence",,,,United States,Providence,
11671,1459465,Avalon,"The first network of experts in Spanish, a promoter of open innovation and a tool capable of providing companies with the knowledge they need, when they need it and how they need it",Marketing,,15,"Spain, Madrid",,,28013,Spain,Madrid,"Knowledge Management,Business Intelligence"
11872,985595,Euro Digital Partners,International Digital Marketing Agency with experience from ICOs to ecommerce,Marketing,,2,"Prague, Czech Republic",,,,Czech Republic,Prague,"Advertising,Adtech,SEO"
11940,984489,BRAT - Biroul Roman de Audit Transmedia,"BRAT gives the media trends. Audit prints, print & online audience, and monitor advertising investments",Marketing,,2,"Romania, Bucharest",,,,Romania,Bucharest,"Market Intelligence,audit,Printing,monitoring,Advertising,investing,Adtech"
11969,1457567,Creative Solutions,Creative Solutions Software & Web Development Company in Saudi Arabia,Marketing,,2,"Saudi Arabia, Riyadh",,,12211,Saudi Arabia,Riyadh,"app,video,Adtech,SEO"
12202,1909,HotelRunner,Smart hospitality solutions in the cloud,Marketing,Travel,4,"Turkey, Istanbul",,,,Turkey,Istanbul,"Travel,Content Management,accommodation,reporting,app,video,Risk Management,platform,branding,SaaS,Messaging,SEO,payment"
12222,900497,Maker,Discover And Share The Stories Behind Products | Maker,Marketing,,2,"United States, San Francisco",,,,United States,San Francisco,product
12237,1457941,Tanishvi Holdings,Tanishvi Holdings | International Investment & Management Co. | Dubai,Marketing,,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,branding
12320,911129,Perficient,Digital consultancy transforming how enterprises connect with customers & grow their business,Marketing,,4,"United States, Austin",,,,United States,Austin,"enterprise resource planning,Content Management,Analytics"
12515,1452463,Onramp Lab,Partners with innovative companies of all sizes and stages to help them scale,Marketing,,3,"Taiwan, Taipei City",,,110,Taiwan,Taipei City,
12721,1551876,Symbiosis Institute Of Business Management,Postgraduate programs,Marketing,,8,"India, Pune",,,411030,India,Pune,
12852,1713218,Dhirubhai Ambani Institute of Information and Communication Technology,School,Event Tech,,2,"India, Gandhinagar",,,382024,India,Gandhinagar,communication
12853,984991,Serbian Private Equity Association,Advocating the Private Equity and Venture Capital industry in Serbia,Event Tech,,2,"Serbia, Belgrade",,,,Serbia,Belgrade,
12855,103189,Dillard University,Celebrating 145 Years of Excellence and Heritage #MYDU,Event Tech,,2,"United States, New Orleans",,,,United States,New Orleans,
12932,1448699,Blogfabrik,Blogfabrik Berlin - Coworking Space und Agentur für digitalen Content,Event Tech,,12,"Oranienstraße 185, 10999 Berlin, Germany",Oranienstraße,,,Germany,Berlin,"workspace,Office Space,event management"
12983,1376717,Stamford Innovation Center,The hub for innovation & entrepreneurship,Event Tech,Real Estate,2,"Stamford, CT, United States",,,06901,United States,Stamford,community
13002,1456600,Etihad Airways,"Welcome to the official Etihad Airways Twitter account. Follow for the latest updates, events and exclusive competitions. For questions reach us at @EtihadHelp.",Event Tech,Transportation,2,"United Arab Emirates, Abu Dhabi",,,,United Arab Emirates,Abu Dhabi,"Aerospace,accommodation"
13024,1448642,Alte Kantine Wedding,Realize your own events and implement your ideas into action,Event Tech,,12,"Uferstraße 8-11, 13357 Berlin, Germany",Uferstraße,,,Germany,Berlin,"corporate events,event management,workspace,live events"
13083,148600,College Labor,,Home Living,,2,"United States, San Francisco",,,,United States,San Francisco,
13222,1457168,Emirates Capital,Emirates Capital,Home Living,,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,Banking
13298,1457140,SI Capital Partners,SI-CP,Real Estate,,2,"United Arab Emirates, Abu Dhabi",,,,United Arab Emirates,Abu Dhabi,financial service
13321,2018835,Newday Offices,Newday Offices Amsterdam West - Kantoren en Werkplekken,Real Estate,,12,"Overschiestraat 65, 1062 XD Amsterdam, Netherlands",Overschiestraat,65,1062 XD,Netherlands,Amsterdam,
13405,1455449,Green Property Investment Fund 1 Plc,Green Deposito,Real Estate,Fintech,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"green technology,Commerce,Property Management,Real Estate,Retail"
13418,1457617,Evarei Management,Evarei - Evareium Manager | World-Class Real Estate Asset Management,Real Estate,,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,"Asset management,financial service"
13420,224173,Calverton Business Incubator,Incubator at Stony Brook University,Real Estate,Education,8,"United States, Calverton",,,,United States,Calverton,
13423,1456060,Hibernia REIT,Hibernia REIT plc,Real Estate,Fintech,2,"Ireland, Dublin",,,D01,Ireland,Dublin,
13529,1790372,U+I,Regeneration Rethought - U+I,Real Estate,,2,"United Kingdom, London, Howick Place, 7A",Howick Place,7A,SW1P 1,United Kingdom,London,
13535,1636930,Arora New York,Real Estate Investment Firm,Real Estate,,2,"United States, New York",,,10007,United States,New York,outside tech
13576,1879095,Frankston Foundry,Co-work Space & Start Up Incubator. Work. Meet. Beach. Repeat,Real Estate,,12,"1-3 Keys St, Frankston VIC 3199, Australia",Keys Street,1-3,3199,Australia,Frankston,
13619,1649019,Avison Young,Commercial real estate services firm,Real Estate,,4,"Canada, Toronto",,,M5H,Canada,Toronto,"Mortgages & Lending,outside tech,Retail"
13675,1337365,The John Marshall Law School,Educational institution that prepares students for work in legal fields,Real Estate,,8,"United States, Chicago",,,,United States,Chicago,
13680,1483773,Chalus Chegaray & Compagnie,Chalus Chegaray & compagine helps to financing and accounting any company positioned on a potential market in long term process,Real Estate,,2,"France, Le Havre",,,76600,France,Le Havre,
13770,1355230,ACI Materials,Manufacturing and development company,Semiconductors,,2,"United States, Goleta",,,,United States,Goleta,
13811,1456412,MyTechBuyBack,Mytech Buyback is the leading provider of short term micro funding secured on consumer electronics. Get up to £400 instantly.,Semiconductors,Fintech,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"financial service,micro lending"
13856,1861875,FLEXITALLIC,Flexitallic - Innovative Gasket and Sealing Solutions,Semiconductors,,2,"United Kingdom, Cleckheaton, Hunsworth Lane",Hunsworth Lane,,BD19 4LN,United Kingdom,Cleckheaton,
13979,1645057,Gelt VC,Seed stage firm investing in innovation in the a-r-t industries,Transportation,,2,"United States, San Francisco",,,94102,United States,San Francisco,outside tech
14062,1840672,Volansi,"Providing end-to-end drone delivery services for time-critical parts and supplies, saving customers time, money, and even lives",Transportation,,2,"1500 Sally Ride Dr, Concord, CA 94520, USA",Sally Ride Drive,1500,94520,United States,Concord,
14283,1568576,Shawcor,"Shawcor, a leading integrated energy services company",Transportation,,3,"Canada, Toronto",,,M5H,Canada,Toronto,
14315,117825,The College Driver,College Driver | Car Reviews | Car Road Test | Car Test Reviews | Auto Shows and Reviews,Transportation,,2,"United States, Rochester",,,,United States,Rochester,"review,car,recommendation,Automotive"
14316,1712379,Scuola Politecnica di Design,School in milan,Transportation,Home Living,4,"Italy, Milan",,,20121,Italy,Milan,
14326,179485,XPO Logistics,One of the fastest growing providers of transportation logistics services in North America,Transportation,,4,"Greenwich, CT, United States",,,06830,United States,Greenwich,"green technology,Aviation & Aerospace,Automotive,Storage,sound technology,logistic,Supply Chain Management,branding,Delivery,Retail,investing"
14337,2018760,Bakke Rij,BakkeRij - Scheepscontainers in Waarderpolder in Haarlem,Transportation,,2,"Hendrik Figeeweg 3F, 2031 BJ Haarlem, Netherlands",Hendrik Figeeweg,3F,2031 BJ,Netherlands,Haarlem,
14720,2963347,Communo,A talent optimization platform made up of vetted marketing professionals,Jobs Recruitment,,2,"434 W 33rd St, New York, NY 10001, USA",West 33rd Street,434,10001,United States,New York,
14724,1450846,Whale Shark,Pre-VC Accelerator ||Apex hunter || Growth stage Startups & Scaleups Deal Sourcing || ,Jobs Recruitment,,2,"Stockholm, Stockholm County, Sweden",,,111 53,Sweden,Stockholm,
14757,1454903,Ballymun Whitehall Area Partnership,We are a community based organisation operating for over 20 years in the Ballymun Whitehall Area for the benefit of residents and the community,Jobs Recruitment,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"Charity,Recruitment,non-profit,community"
14827,1720870,ICFAI Business School,"IBS has been one of the best B-Schools in the country, providing excellent academic delivery and infrastructure to its students",Jobs Recruitment,,2,"India, Pune",,,411030,India,Pune,"outside tech,Delivery"
14985,74935,Intelligent Positioning,Search technology to improve brands' social performance,Enterprise Software,Marketing,2,"120 Church St, Brighton BN1 1UD, UK",Church Street,,BN1 1UD,United Kingdom,Brighton,"Search Engine,Analytics,Social"
15040,2126949,Airport Research Center,Home - ARC,Enterprise Software,,2,"Bismarckstraße 61, 52066 Aachen, Germany",Bismarckstraße,61,52066,Germany,Aachen,
15095,1457720,PEYMAN PARSIAN SALIM,"PEYMAN PARSIAN SALIM CO.,LTD",Enterprise Software,,2,"Iran, Tehran",,,,Iran,Tehran,
15176,2060538,Hedera Hashgraph,Hedera Hashgraph,Enterprise Software,,2,"Richardson, TX, United States",,,75080,United States,Richardson,
15190,1237988,Acceleration Partners,Digital strategy and affiliate marketing firm focused on online customer acquisition for e-commerce companies,Enterprise Software,,2,"United States, Needham",,,,United States,Needham,
15202,108128,CollegeMobile,,Enterprise Software,,2,"Canada, Saskatoon",,,,Canada,Saskatoon,
15427,1372639,Vistaar Technologies,Provider of price management solutions,Enterprise Software,,2,"United States, Parsippany-Troy Hills",,,,United States,Parsippany-Troy Hills,"Price Comparison,Retail,SaaS"
15600,96586,Qualiteam Software,Services | X-Cart,Enterprise Software,,2,"Cyprus, Limassol",,,,Cyprus,Limassol,agency
15735,1466068,Robin Systems,ROBIN Hyper-Converged Kubernetes Platform for Big Data,Enterprise Software,,2,"San Jose, CA, USA",,,,United States,San Jose,"Data Analytics,Virtualization,NoSQL"
