,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
4229,1500890,"Holgate School, Barnsley",School,,,8,"United Kingdom, Barnsley",,,S70 2,United Kingdom,Barnsley,
4248,1477099,Be Great Partners,begreat.co - This website is for sale! - begreat Resources and Information.,,,3,"United States, Los Angeles",,,90012,United States,Los Angeles,
4256,1239818,Supreme Group,"End-to-end supply chain solutions to defense, government, and commercial sector",,,3,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,
4324,920764,Queen City Angels,Queen City Angels,,,3,"United States, Cincinnati",,,,United States,Cincinnati,
4327,1755135,College Audit Solutions,College Audit Solutions is specialized in accreditation and compliance management systems for private postsecondary institutions,,,8,"United States, Chicago",,,60602,United States,Chicago,
4380,1530368,International School of Amsterdam,Private international school located in the city of Amstelveen in amsterdam,,,8,"Netherlands, Amstelveen",,,1181,Netherlands,Amstelveen,
4403,1720296,Indian Institute of Technology (BHU) Varanasi,A public engineering institution founded in 1919 with 13 departments and three inter-disciplinary schools,,,4,"India, Varanasi",,,221002,India,Varanasi,
4404,1452627,China Steel,"中鋼公司,中國鋼鐵股份有限公司",,,4,"Taiwan, Kaohsiung City",,,802,Taiwan,Kaohsiung City,
4430,1477094,AlphaPrime Ventures,AlphaPrime,,,3,"United States, New York",,,10007,United States,New York,
4747,1861988,Grounded,GROUNDED® – Pure Plant Power,Food,,2,"United Kingdom, London",,,W10 6EH,United Kingdom,London,
4851,1222817,Pet360,"Pet supplies online, including pet food, supplements, toys, medicines, apparel and outside gear",Food,,4,"United States, Plymouth Meeting",,,,United States,Plymouth Meeting,"pet food,pet"
4985,1644858,Namati,Namati trains and deploys grassroots legal advocates – sometimes known as ‘barefoot lawyers’,Legal,,2,"20004 Washington, District of Columbia, United States",,,20004,United States,Washington,"Banking,payment"
5055,1267917,Surgical Frontiers,Surgical Frontiers is making life better for the injured and impaired by funding,Legal,,2,"United States, Logan",,,,United States,Logan,"regtech compliance,regtech compliance,compliance,investing"
5159,2948133,DynamicScreen,,Media,,2,"Bordeaux, Nouvelle-Aquitaine, France",,,33000,France,Bordeaux,
5239,951226,TMT Finance,"TMT Finance | News, insight and networking for telecoms investment globally",Media,,2,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
5430,1456243,CampusDublin,"Our Progressive start-up Co Working TECH-Space is for any TECH Media people, Graduate, Freelancer, Idea-GEEK to Start-up Champion ! https://t.co/rhflGRuhXL",Media,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"Freelancers,internet of things,financial service"
5462,1456880,Kuwaiti European Holding Company,News from http://t.co/Z3JOKIYzYa (that's the hosted version). Follow @WordPress for .org updates. Get support at: http://t.co/uAI0RPs8hM An @Automattic product.,Media,,2,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,financial service
5594,2018819,Freedom Lab,,Media,,2,"Amsterdam, Netherlands",,,,Netherlands,Amsterdam,
5668,113811,CollegeStartup,College Startup Magazine | Sharing the stories of student and recent alumni entrepreneurs.,Media,,2,"United States, New York",,,,United States,New York,"sharing,Advertising,Content"
5793,892930,Tribe,A store of live multiplayer games,Media,Gaming,2,"United States, San Francisco",,,,United States,San Francisco,"Freemium,multiplayer,app,video,platform,game development,SaaS,Messaging"
5905,1315500,DomainInvesting.com,Online publication covering the business of domain name investing and the domain name industry,Media,Fintech,2,"United States, Wellesley",,,02481,United States,Wellesley,investing
5923,1529295,Duart,Online tool which gathers actors from the region,Media,,2,"Croatia, Zagreb",,,10000,Croatia,Zagreb,Search Engine
5954,984195,Wall-Street ro,"Wall-Street ro is a newspaper that publishes content on economy, business, capital markets, investments, startups, finance, and more",Media,,2,"Romania, Bucharest",,,,Romania,Bucharest,"Broadcast,Retail,investing"
5955,1532788,Adpow,Social media growth platform,Media,,2,"Bulgaria, Sofia",,,1000,Bulgaria,Sofia,"platform,Social,Social Media"
6010,125954,UniversityJunction,Universityjunction.com,Music,Dating,2,"United States, New York",,,,United States,New York,
6077,149020,GWOP University,GWOP University | Art Is Life!   Gain Wealth Opportunity Prosperity,Music,,2,"United States, Las Vegas",,,,United States,Las Vegas,arts & culture
6149,1457714,Sarir Startup Land,فضای کار اشتراکی و شتابدهی سریر – به رویاهات رنگ واقعیت ببخش,Energy,,2,"Iran, Tehran",,,,Iran,Tehran,"Oil & gas,Information Technology"
6472,1457111,Qatar Solar Technologies,Home | QSTec - Qatar Solar Technologies,Energy,,4,"Qatar, Doha",,,,Qatar,Doha,"solar energy,green technology"
6490,955700,Aggreko,Generator Rental | Temperature Control I Hire Generator I | Aggreko,Energy,,4,"United Kingdom, Glasgow",,,,United Kingdom,Glasgow,"Cooling tech,Recruitment,control systems,temperature,generator,heating,renting,renting"
6507,1761333,Nocart,Nocart is an environmentally conscious energy company using multiple sources to produce high quality green electricity for all needs,Energy,,2,"Niemenkatu 73, 15210 Lahti, Finland",Niemenkatu,73,,Finland,Lahti,"core sustainable impact,sustainable development goals,Affordable and Clean Energy (#7)"
6535,863052,Breeze Technologies,"Breeze pushes the limits of environmental sensor development. Their small-scale air quality sensors can measure common pollutants like carbon and nitrogen oxides, ozone, particulate matter and many more. Their competitive price point allows for new applications like smart air quality management in your office buildings or large-scale environmental sensing in your urban environment",Energy,Real Estate,2,"Harburger Schloßstraße 6-12, 21079 Hamburg, Germany",Harburger Schloßstraße,6-12,21079,Germany,Hamburg,"sustainable development goals,urban tech,Sustainable Cities and Communities (#11),smart city,govtech,smart cities,Climate Action (#13),core sustainable impact,environment,Life on Land (#15)"
6617,1541128,International Academy of Computer Graphics,IACG as an Industrial Academy is offerin,Gaming,Education,8,"India, Hyderabad",,,500001,India,Hyderabad,
6725,1319050,Co=Creation=Capital,Build cool technologies and services that are spectacularly financially successful,Gaming,,4,"United States, Menlo Park",,,,United States,Menlo Park,game development
6808,2910448,Alaya Care,Home Care Software | Home Health Software | AlayaCare,Health,,2,"Montreal, QC, Canada",,,H2L,Canada,Montreal,
6830,101454,Health Enterprise Partners,Healthcare Private Equity Firm - Health Enterprise Partners,Health,,3,"United States, New York",,,,United States,New York,"partners,medical / healthcare,healthcare,equity research,Health"
7176,1452647,"Institute of Information Science, Academia Sinica","Institute of Biological Chemistry, Academia Sinica",Health,,3,"Taiwan, Taipei City",,,110,Taiwan,Taipei City,Biotechnology
7387,1530831,VUmc,University hospital affiliated with the VU University Amsterdam,Health,,8,"Netherlands, Amsterdam",,,1011 MG,Netherlands,Amsterdam,
7388,1411151,Cold Spring Harbor Biological Laboratory,Cold Spring Harbor Laboratory is Preparing students and families to thrive in the gene age,Health,,8,"United States, Cold Spring Harbor",,,,United States,Cold Spring Harbor,
7517,1532732,Athlone Institute of Technology,"Higher learning academic institute providing courses on business, humanities, engineering and science",Health,,2,"Dublin Rd, Bunnavally, Athlone, Co. Westmeath, Ireland",Dublin Road,,,Ireland,Athlone,
7528,1646325,St Jude Children’s Research Hospital,Pediatric treatment and research facility focused on children's catastrophic,Health,,4,"United States, Memphis",,,38103,United States,Memphis,"cancer,oncology,children,outside tech"
7570,2021419,OnCall Health,"OnCall Health – Online Counselling, Telemedicine, Practice Management",Health,,2,"Toronto, ON, Canada",,,M5H,Canada,Toronto,Messaging
7631,1457869,Maysaffron,maysaffron,Health,,2,"United Arab Emirates, Abu Dhabi",,,,United Arab Emirates,Abu Dhabi,
7668,892048,Pixyl,Working to improve patient care by placing the most advanced AI tech in the hands of radiologists and clinicians,Health,Enterprise Software,2,"5 Avenue du Grand Sablon, 38700 La Tronche, France",Avenue du Grand Sablon,5,38700,France,La Tronche,"healthcare,neurology,patient care,stroke,Biotechnology,Analytics"
7899,2121656,Wogic,Vaxini vaccine tracker & reminder. Immunization worldwide. - Vaxini,Health,,2,"Am Waldpark 20, 13467 Berlin, Germany",Am Waldpark,20,13467,Germany,Berlin,
8363,1245487,Travel Open Partnership,TOP disintermediates the OTAs (Priceline/Expedia) by giving hotels the means to earn travel commission from their own guests’ upcoming trips,Travel,,3,"Ireland, Dublin",,,,Ireland,Dublin,"Travel,Predictive Analytics"
8399,880188,Adara Media,ADARA leverages global travel data to drive future business performance,Travel,Telecom,2,"United States, Mountain View",,,,United States,Mountain View,"Travel,user behavior,platform,Search Engine,sharing economy,SaaS,investing"
8629,1539628,Rayson Technology,"One-stop shopping for EMS/JDMS services with quality, cost-performance, flexibility and creativity",Fashion,,4,China,,,,China,Shenzhen,"outside tech,Shopping"
8637,981478,Oliver Wicks,"Online custom menswear, made of Italian and English wool",Fashion,,2,"Bulgaria, Sofia",,,,Bulgaria,Sofia,"Lifestyle,service provider,Retail"
8639,1465126,InfoScout,InfoScout OmniPanel | Numerator,Fashion,,2,"United States, San Francisco",,,94102,United States,San Francisco,Shopping
8645,86757,Shopbop,Shopbop.com Designer Women's Fashion Brands,Fashion,,2,"1301 E Washington Ave, Madison, WI 53703, USA",East Washington Avenue,1301,,United States,Madison,branding
8704,1645454,Glider,Finance and executive leadership with insights into a company’s sales activities,Fintech,,2,"United States, Portland",,,97201,United States,Portland,"reporting,investing"
8726,1459547,N+1 Group,"N+1 is an investment platform specialised in advising on, promoting, developing and managing investment products",Fintech,,2,"Spain, Madrid",,,28013,Spain,Madrid,
8775,139503,Rock Health,Seed fund investing in digital health startups,Fintech,Telecom,4,"United States, San Francisco",,,,United States,San Francisco,"reporting,user behavior,app,Risk Management,platform,SaaS,investing"
8815,1651391,Paulson Investment Company,Investment banking firm focused on the small to mid-cap markets,Fintech,,4,"United States, Portland",,,97201,United States,Portland,"outside tech,Banking"
8871,1457508,Ozkan Corporation,"Özkan Corporation is a conglomerate holding company in the Turkish Republic of Northern Cyprus, with several investments in different business sectors",Fintech,Health,2,"Cyprus, Nicosia",,,1015,Cyprus,Nicosia,"Health Care,Advertising,investing"
8872,1642267,The Tech Garden,The Tech Garden is providing the environment and resources needed to foster the growth of emerging technology companies,Fintech,,2,"United States, Syracuse",,,13202,United States,Syracuse,"Social,investing"
8876,1239945,Alawwal Bank,Banking and investment services in the kingdom of saudi arabia,Fintech,,3,"Saudi Arabia, Riyadh",,,,Saudi Arabia,Riyadh,Banking
8890,1652204,Covisum,"Financial advisors with software, training and support to deliver retirement income plans",Fintech,,15,"United States, Omaha",,,68102,United States,Omaha,retirement
8934,987759,Penny Royalty,An Alternative Investment Model that issues security token to invest in people's careers,Fintech,,2,"Israel, Tel Aviv-Yafo",,,,Israel,Tel Aviv-Yafo,"Crowdfunding,Innovation Management,platform,SaaS"
8949,1457838,Capira Capital,Capira Capital,Fintech,Real Estate,2,"United Arab Emirates, Dubai",,,,United Arab Emirates,Dubai,debt collection
8988,1393341,Invencor,Venture capital and private equity firm,Fintech,,2,"United States, San Francisco",,,,United States,San Francisco,"debt collection,investing"
9119,1210852,Nullatech,Our prediction service gives you important insights to overcome risks of trading and investment caused by uncertainty of the future market,Fintech,,3,"Iran, Tehran",,,,Iran,Tehran,"Trading,user behavior,Risk Management,Social,Social Media"
9168,1457675,Windsor Brokers,Windsor Brokers - Forex | CFD | Stocks,Fintech,,4,"Cyprus, Limassol",,,3041,Cyprus,Limassol,"brokerage,Trading"
9195,1454669,AXA Life Europe,,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"Insurance,financial service"
9264,1569374,Oxygen,"Digital bank, focused on freelancers and the gig-economy at large offering banking and credit",Fintech,,2,"United States, San Francisco",,,94102,United States,San Francisco,"financial service,loan,Freelancers,credit card,Banking"
9304,1456938,Phaze Ventures,phaze ventures,Fintech,,2,"Oman, Muscat",,,,Oman,Muscat,"platform,SaaS"
9308,951284,American Family Insurance,"American Family Insurance Quotes for Auto, Home, Life and More | American Family Insurance",Fintech,,4,"United States, Madison",,,53703,United States,Madison,insurtech
9344,1457697,AMD Venture Capital,AMD provides the global platform for the sourcing and management of early-stage investments,Fintech,,2,"Cyprus, Nicosia",,,1015,Cyprus,Nicosia,"platform,SaaS,investing"
9366,1455080,Insurance Regulatory Capital,Insurance Regulatory Capital,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"debt collection,financial service,regtech compliance,insurtech,compliance"
9374,1455486,Trinity Fund Administration,Trinity is a global hedge fund services company that provides admin services to a wide range of funds. We also offer risk and regulatory reporting solutions,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"Hedge Funds,financial service,reporting,Information Technology,Risk Management,regtech compliance,regtech compliance,compliance"
9429,1454229,Financial Risk Solutions,FRS - Home,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"administration,Accounting,Trading,reporting,financial service,Risk Management,regtech compliance"
9431,1221190,2nate,Crowdfunding platform which helps people to raise fund for their projects which have social impacts,Fintech,,3,"Iran, Tehran",,,,Iran,Tehran,"Crowdfunding,platform,Social"
9437,137017,CardFlight,Cardflight - Mobile POS Made Easy.,Fintech,,2,"United States, New York",,,,United States,New York,point of sale
9462,896253,FSV Payment Systems,,Fintech,,2,"United States, Jacksonville",,,32202,United States,Jacksonville,"Human Resources,Recruitment,mapping,platform,Banking,Delivery,Retail,Navigation,payment"
9467,1323706,Parkwood,"Dynamic and fast-growing private financial services company based in cleveland, ohio",Fintech,,4,"United States, Cleveland",,,,United States,Cleveland,
9528,1726408,PME Investimentos,Provider of revitalization and expansion of the supply of finance to companies in the non-financial sector,Fintech,,3,"Portugal, Porto",,,4000-069,Portugal,Porto,"debt collection,Risk Management,Banking,sharing economy,investing"
9552,107071,Systems Maintenance Services,,Fintech,Media,2,"United States, Charlotte",,,,United States,Charlotte,"on-demand,Storage,video,Retail,consulting services,Messaging"
9573,1456216,PLC Partners,"PLC Partners. IT Management Consultants, Dublin, Ireland",Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,"enterprise resource planning,Crowdsourcing,Information Technology,sharing economy,Delivery,consulting services,Testing,SaaS,payment"
9599,1237257,MANAFA Capital,Investment marketplace for innovative businesses regulated by the saudi capital market authority,Fintech,,3,"Saudi Arabia, Riyadh",,,,Saudi Arabia,Riyadh,"financial service,Crowdfunding"
9660,1566077,DBS Securities Limited,Securities Acquisition and Liquidation,Fintech,,2,"Japan, Tokyo",,,,Japan,Tokyo,"Crowdfunding,debt collection,investing"
9670,1454267,MENA Ventures,Default Web Site Page,Fintech,,2,"Ireland, Dublin",,,D01,Ireland,Dublin,financial service
9681,2881628,Payments & Cards Network,PCN - The Number 1 Source For Recruitment Jobs,Fintech,,2,"Netherlands, Amsterdam",,,1011 MG,Netherlands,Amsterdam,
9716,985201,Crimson Capital,Crimson Capital is an international leader in emerging market development,Fintech,,4,"Prague, Czech Republic",,,,Czech Republic,Prague,"Mortgages & Lending,Business Development,Developer Tools"
9719,1457267,Kuwait Financial Centre - Markaz,"Kuwait Financial Centre Markaz is one of the leading asset management and investment banking institution with offices across the Middle East, the U.S., & India",Fintech,,4,"Kuwait, Kuwait City",,,,Kuwait,Kuwait City,"financial service,Asset management,Banking"
9728,1389984,Lake Forest Graduate School of Management,School in lake forest,Fintech,,8,"United States, Lake Forest",,,,United States,Lake Forest,
