,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
7528,1646325,St Jude Children’s Research Hospital,Pediatric treatment and research facility focused on children's catastrophic,Health,,4,"United States, Memphis",,,38103,United States,Memphis,"cancer,oncology,children,outside tech"
7570,2021419,OnCall Health,"OnCall Health – Online Counselling, Telemedicine, Practice Management",Health,,2,"Toronto, ON, Canada",,,M5H,Canada,Toronto,Messaging
8164,2107829,Wolox,,Sports,,2,"San Francisco, CA, United States",,,94102,United States,San Francisco,
8495,1646918,LaSalle Hotel Properties,"A multi-operator REIT owning a portfolio of 46 upscale, full-service hotels located throughout the US",Travel,,2,"20814 Bethesda, Maryland, United States",,,20814,United States,Bethesda,Luxury
8629,1539628,Rayson Technology,"One-stop shopping for EMS/JDMS services with quality, cost-performance, flexibility and creativity",Fashion,,4,China,,,,China,Shenzhen,"outside tech,Shopping"
8645,86757,Shopbop,Shopbop.com Designer Women's Fashion Brands,Fashion,,2,"1301 E Washington Ave, Madison, WI 53703, USA",East Washington Avenue,1301,,United States,Madison,branding
8704,1645454,Glider,Finance and executive leadership with insights into a company’s sales activities,Fintech,,2,"United States, Portland",,,97201,United States,Portland,"reporting,investing"
8815,1651391,Paulson Investment Company,Investment banking firm focused on the small to mid-cap markets,Fintech,,4,"United States, Portland",,,97201,United States,Portland,"outside tech,Banking"
8890,1652204,Covisum,"Financial advisors with software, training and support to deliver retirement income plans",Fintech,,15,"United States, Omaha",,,68102,United States,Omaha,retirement
8988,1393341,Invencor,Venture capital and private equity firm,Fintech,,2,"United States, San Francisco",,,,United States,San Francisco,"debt collection,investing"
9095,1812778,Oxygen,"Oxygen – Banking for free thinkers, rebels and entrepreneurs. Awarded Best Digital Banking Account in the US",Fintech,,2,"United States, San Francisco",,,94102,United States,San Francisco,Banking
9528,1726408,PME Investimentos,Provider of revitalization and expansion of the supply of finance to companies in the non-financial sector,Fintech,,3,"Portugal, Porto",,,4000-069,Portugal,Porto,"debt collection,Risk Management,Banking,sharing economy,investing"
9728,1389984,Lake Forest Graduate School of Management,School in lake forest,Fintech,,8,"United States, Lake Forest",,,,United States,Lake Forest,
9763,984140,Banca Transilvania,"Banca Transilvania is one of the leading banks in Romania, consistently ranked as one of the country's most trusted brands",Fintech,,4,"Romania, Cluj-Napoca",,,,Romania,Cluj-Napoca,Banking
10397,1706803,Symbiosis Institute of Telecom Management,Symbiosis Institute of Telecom Management,Telecom,,2,"India, Pune",,,411030,India,Pune,outside tech
10480,1474291,Envisioning,Envisioning - Technology Intelligence Platform,Robotics,,2,"Tallinn, Estonia",,,,Estonia,Tallinn,"Market Intelligence,Information Technology,platform,SaaS"
10565,1512818,SHS Technologies,SOANA - Optical Inline Measurement System,Robotics,,2,"Schulstraße 63, 09125 Chemnitz, Duitsland",Schulstraße,,,Germany,Chemnitz,Consumer Electronics
10658,1693731,SANS Technology Institute,Degree programs in information security engineering and management,Security,,2,"20814 Bethesda, Maryland, United States",,,20814,United States,Bethesda,"sharing economy,community,Testing"
11043,1283249,U.S. Miltary Academy / United States Military Academy,"Four year coeducational federal service academy located in west point, new york",Education,,8,"United States, West Point",,,,United States,West Point,
11108,141220,Scratch Music Group,Scratch.com - Learn to DJ | Discover | Book a DJ,Education,Music,2,"United States, New York",,,,United States,New York,"dj,Retail,Entertainment"
11174,1250929,Colorado School of Mines,"Public teaching and research university in golden, colorado",Education,,8,"United States, Golden",,,,United States,Golden,
11189,1717240,Sciences Po Paris,Sciences Po is France’s leading university in the social sciences and has been educating decision-makers in the public,Education,,4,"27 Rue Saint-Guillaume, 75007 Paris, Frankrijk",Rue Saint-Guillaume,,,France,Paris,Social
